词语	词性	权重	词频
销售	vn	29.89	45
增长	v	29.83	67
发生	v	29.50	58
新闻	n	29.29	51
申请家庭	n_new	28.91	18
增加	v	28.58	42
认为	v	28.56	94
实现	v	28.52	36
进入	v	28.47	32
调查	vn	28.46	52
组织	v	28.41	37
专家	n	28.40	42
表现	v	28.36	41
我国	n	28.32	51
比赛	vn	28.28	49
医改方案	n_new	27.89	11
能够	v	27.63	33
具有	v	27.63	34
接受	v	27.57	35
环境	n	27.54	47
水平	n	27.45	44
部门	n	27.29	60
企业职工福利费	n_new	27.29	15
静安寺	n_new	26.84	12
城市	n	26.77	56
领导	n	26.71	40
人口	n	26.66	43
支持	v	26.64	48
教育	vn	26.54	46
大学	n	26.52	56
经济适用住房	n_new	26.27	9
市民	n	26.06	40
区域	n	25.88	46
使用	v	25.84	43
包括	v	25.81	50
生产	vn	25.39	61
特区	n	25.30	58
侯耀华	nr	25.25	32
设计	vn	25.06	34
行业	n	24.99	37
继续	v	24.96	33
拥有	v	24.95	38
上海通用汽车	n_new	24.93	5
消费	vn	24.91	39
提高	v	24.83	35
电影	n	24.81	44
标准	n	24.68	44
发现	v	24.64	45
改革	vn	24.61	62
淡水河谷公司	n_new	24.23	5
职工	n	24.23	83
承担	v	24.19	32
信息	n	24.12	34
居民	n	24.11	38
控制	v	24.08	35
法律	n	24.06	45
单位	n	24.05	36
实施	v	24.02	46
决定	n	24.00	40
专业	n	23.99	36
资源	n	23.99	35
控烟	n_new	23.94	12
住房	n	23.80	53
知道	v	23.74	60
发行	v	23.73	55
方式	n	23.69	42
中央	n	23.68	43
金融危机	n_new	23.54	19
关系	n	23.39	68
购买	v	23.32	39
申请	n	23.21	54
存在	v	23.21	33
彩票	n	23.18	35
综合	vn	23.04	33
制度	n	23.03	51
股票	n	22.98	47
方案	n	22.94	48
影响	vn	22.87	54
经过	v	22.58	37
来自	v	22.54	25
奥巴马	n_new	22.48	16
就是	v	22.48	39
系统	n	22.47	33
取得	v	22.47	36
收入	n	22.45	33
希望	v	22.44	34
无法	v	22.42	25
广场	n	22.42	68
得到	v	22.41	26
完成	v	22.38	36
报告	n	22.35	30
计划	n	22.33	33
品牌	n	22.30	32
成本	n	22.24	34
上海世博会	n_new	22.18	17
行政	n	22.03	43
南航权证	n_new	21.82	7
还有	v	21.78	36
南航认沽	n_new	21.65	7
交易	vn	21.62	33
制作	v	21.60	26
双方	n	21.55	30
显示	v	21.51	44
地方	n	21.50	29
工程	n	21.48	29
事故	n	21.47	34
网友	n	21.44	30
商业	n	21.31	33
战略	n	21.31	33
行为	n	21.30	29
功能	n	21.24	50
事件	n	21.13	31
商业保险公司	n_new	21.11	4
就近安置	n_new	21.06	10
合作	vn	20.96	45
规定	n	20.95	50
责任	n	20.94	58
全球	n	20.86	27
实行	v	20.86	24
学校	n	20.78	33
12月	t	20.74	97
采取	v	20.74	29
条件	n	20.71	34
提升	vn	20.67	24
成绩	n	20.67	31
球员	n	20.65	24
操作	v	20.63	25
车型	n	20.63	25
对方	n	20.63	28
觉得	v	20.61	44
建立	v	20.59	36
土地	n	20.58	42
球队	n	20.56	33
工业	n	20.50	31
资金	n	20.46	28
运营	vn	20.35	32
报道	v	20.24	63
错装	n_new	20.16	12
告诉	v	20.01	54
行动	vn	20.00	32
一	m	19.96	915
消息	n	19.86	75
法院	n	19.73	41
股市	n	19.72	28
考虑	v	19.70	35
面临	v	19.64	25
医疗	n	19.63	40
负责人	n	19.59	34
结构	n	19.56	38
了解	v	19.54	76
电话	n	19.46	37
软件园	n_new	19.43	18
朋友	n	19.28	41
能力	n	19.19	40
保障	vn	19.18	38
基地	n	19.11	27
保持	v	19.03	20
分析师	n_new	18.97	7
设置	vn	18.88	26
处理	v	18.82	23
历史	n	18.70	28
中山公园	n_new	18.69	12
文化	n	18.63	27
颁奖典礼	n_new	18.62	9
房源	n	18.55	27
数据	n	18.50	28
物管员	n_new	18.50	3
公开	v	18.48	44
轨交	n_new	18.45	12
人士	n	18.34	34
世博会	n	18.30	39
自主招生考试	n_new	18.20	4
中学校长推荐	n_new	18.20	4
宣传	vn	18.09	21
符合	v	18.09	19
研究	vn	18.07	33
煤炭	n	18.04	19
规模	n	18.03	24
引起	v	18.01	21
宣布	v	18.00	23
看到	v	18.00	30
采用	v	17.94	23
孩子	n	17.91	26
开发	v	17.89	20
金融	n	17.88	96
支付	v	17.86	22
减少	v	17.82	24
下降	vi	17.80	23
心理	n	17.79	23
结果	n	17.77	36
会议	n	17.75	28
殴打无辜群众	n_new	17.71	6
错装闹剧	n_new	17.71	3
形成	v	17.60	34
原因	n	17.57	48
进口	vn	17.55	27
东方网	n_new	17.53	61
华菱认沽	n_new	17.45	4
前往	v	17.31	16
保护	v	17.31	23
创业板	n_new	17.29	8
观光厅	n_new	17.23	9
单元5-3业主	n_new	17.23	16
相信	v	17.22	24
集中	v	17.20	29
上涨	vi	17.18	22
结婚	vi	17.18	33
网站	n	17.16	18
观众	n	17.14	19
是否	v	17.14	19
同学	n	17.14	19
指数	n	17.14	17
高校	n	17.13	20
票房	n	17.12	21
拍摄	v	17.10	19
新闻发言人	n_new	17.04	8
精神	n	17.02	22
贸易	vn	17.01	23
三菱汽车	n_new	17.01	8
突破	v	16.98	20
压力	n	16.97	27
喜欢	vi	16.97	26
体育	n	16.96	21
福利	n	16.95	27
职业	n	16.94	23
关注	v	16.93	41
从事	vi	16.92	27
上海体育馆	n_new	16.92	16
消费者	n	16.88	21
商圈	n_new	16.85	17
公示	n_new	16.84	7
状况	n	16.84	22
奖金	n	16.83	23
标志	n	16.81	32
成立	vi	16.81	24
侯瓒	n_new	16.80	10
帖子	n_new	16.74	9
美国	nsf	16.72	71
经济全球化	n_new	16.68	6
网络直播	n_new	16.60	10
通知	n	16.57	30
感觉	v	16.56	28
指示牌	n_new	16.48	10
广告	n	16.47	29
社区	n	16.43	25
带来	v	16.41	38
赛季	n	16.39	28
举行	v	16.37	41
家庭	n	16.32	42
推进	vi	16.27	19
春强	nr2	16.27	34
涉及	v	16.26	24
出席	v	16.26	15
来到	v	16.23	16
恢复	v	16.23	16
推出	v	16.22	22
工资总额	n_new	16.21	18
基金	n	16.18	17
办公室	n	16.18	22
联系	vn	16.15	18
曝光	vn	16.14	17
改变	v	16.13	21
费用	n	16.12	25
套餐	n	16.10	24
代表	n	16.10	22
加大	v	16.09	21
大盘	n	16.08	22
投资者	n	16.07	19
人们	n	16.02	23
女儿	n	16.01	19
王承勇	nr	16.01	17
手机	n	16.00	23
准备	v	16.00	20
父母	n	15.99	28
免费	vd	15.92	22
阶段	n	15.92	26
范围	n	15.88	29
推荐	v	15.87	26
造成	v	15.81	36
尼康	n_new	15.72	13
审理	v	15.66	41
区	n	15.56	137
管理体制改革	n_new	15.55	12
渔港	n	15.52	60
学习	v	15.50	20
解决	v	15.45	22
织娘	n_new	15.44	9
发出	v	15.39	14
经验	n	15.37	29
负责	v	15.35	18
担任	v	15.34	14
减排	n_new	15.34	6
主题	n	15.33	21
出口	vi	15.33	18
明星	n	15.33	20
确定	v	15.33	21
经营	vn	15.33	21
警方	n	15.32	19
休闲	vn	15.31	23
煤矿	n	15.31	20
帮助	v	15.29	21
路口	n	15.28	22
空间	n	15.27	20
报名	vi	15.26	16
调研	vn	15.26	26
上升	vi	15.25	17
开发商	n	15.25	18
视频	n	15.25	18
展开	v	15.24	15
补贴	n	15.24	21
主任	n	15.24	42
俱乐部	n	15.23	17
台球学院	n_new	15.23	8
检查	vn	15.22	26
死亡病例	n_new	15.22	9
监控	vn	15.21	15
排名	vn	15.21	18
需求	n	15.21	23
执行	v	15.19	21
震荡	vi	15.18	20
财政	n	15.16	17
解释	vn	15.16	17
科技	n	15.15	21
离开	v	15.15	17
冠军	n	15.15	19
面对	v	15.13	21
纳入	v	15.13	24
创新	vn	15.13	24
新区	n	15.13	94
铁矿石	n	15.12	17
数量	n	15.12	52
面积	n	15.12	22
只能	v	15.12	24
侯大爷	n_new	15.10	6
非常	d	15.09	54
不可	v	15.08	26
隧道	n	15.08	23
单身人士	n_new	15.07	4
海口市工商局	n_new	15.07	8
动力	n	15.03	19
国际足联	n_new	15.02	11
观光	vn	15.02	24
引入商业保险	n_new	15.01	4
新闻发布会	n_new	15.01	6
建筑面积	n_new	14.98	8
机会	n	14.97	26
加强	v	14.95	23
变化	vn	14.95	47
程先生	n_new	14.95	7
高新技术产业	n_new	14.91	6
持续	vd	14.91	20
欧冠	n_new	14.91	6
纳税人	n	14.89	24
2008年	t	14.87	34
国务院	nt	14.79	36
广州亚运会	n_new	14.72	7
浮亏	n_new	14.72	7
白平衡	n_new	14.72	5
国际空间站	n_new	14.72	5
人民路隧道	n_new	14.72	5
年度最佳	n_new	14.66	7
建议	n	14.61	29
清洁能源	n_new	14.60	9
人大常委会	n_new	14.57	8
正是	v	14.55	15
对抗气候变化	n_new	14.54	2
有望	v	14.52	17
公布	v	14.52	27
母亲	n	14.49	16
检测	vn	14.48	15
准入标准	n_new	14.48	8
投入	v	14.45	17
考察	v	14.45	17
举办	v	14.45	14
西城法院	n_new	14.44	7
个人	n	14.43	14
游客	n	14.39	16
产生	v	14.39	23
选手	n	14.37	19
地产	n	14.36	23
召开	v	14.36	17
离婚	vi	14.36	20
位于	v	14.35	18
网络	n	14.34	27
受到	v	14.34	20
合同	n	14.33	16
成交	v	14.32	16
改造	vn	14.32	17
镜头	n	14.31	14
人民	n	14.30	25
身份	n	14.29	21
利益	n	14.28	20
车辆	n	14.28	14
开放	v	14.27	23
利用	v	14.26	15
校长	n	14.26	28
介绍	v	14.25	65
重要	a	14.25	67
整体	n	14.25	19
下跌	vi	14.24	20
麻辣烫	n	14.24	21
建筑	n	14.23	20
方法	n	14.22	18
男人	n	14.21	40
人才	n	14.21	19
主要	d	14.19	74
机制	n	14.19	26
融资	vn	14.19	22
主席	n	14.17	21
同意	v	14.16	18
提名	vn	14.15	22
措施	n	14.15	23
房地产	n	14.14	24
比较	d	14.12	42
透露	v	14.09	34
砒霜门	n_new	14.07	4
损失	n	14.07	35
目标	n	13.97	19
基础	n	13.95	35
2009	m	13.93	10
发布	v	13.85	28
小区	n	13.80	23
实体经济增长	n_new	13.80	4
公益性指示牌	n_new	13.79	2
滨海新区工委	n_new	13.79	4
制造	v	13.79	13
老师	n	13.75	15
有限公司	n	13.73	35
出来	vf	13.72	39
分析	v	13.71	28
学院	n	13.71	26
原则	n	13.70	29
工资	n	13.70	30
发挥	v	13.70	20
结束	v	13.68	23
民警	n	13.66	16
成员	n	13.64	16
论坛	n	13.64	16
安装	v	13.61	13
承诺	vn	13.58	14
同比	n	13.57	26
联合国气候变化	n_new	13.55	3
亏损	v	13.53	20
律师	n	13.51	23
事情	n	13.49	34
股指	n	13.48	20
影片	n	13.47	26
竞争	vn	13.46	21
维修	vn	13.46	22
委员会	n	13.46	16
世界杯	n	13.43	14
应当	v	13.41	20
男子	n	13.40	30
委托	vn	13.39	12
跌幅	n	13.39	12
案件	n	13.38	18
速度	n	13.38	18
共有	v	13.37	14
火灾	n	13.36	16
上市	vi	13.35	23
驾驶	v	13.35	14
重视	v	13.34	18
演出	vn	13.33	29
发表	v	13.33	13
推动	v	13.33	17
步行	vi	13.33	24
领域	n	13.32	16
根本	n	13.31	23
旅游	vn	13.30	18
债务	n	13.25	25
供应	vn	13.24	16
文明	n	13.23	26
咨询	vn	13.20	18
被告	n	13.16	20
公众	n	13.14	22
规避风险	n_new	13.13	8
慢班	n_new	13.13	4
赵丹阳	n_new	13.13	4
照片	n	13.13	17
关键	n	13.12	17
能源	n	13.09	22
直播	v	13.08	21
专家学者	n_new	13.01	6
生态城	n_new	13.01	6
公告	n	13.01	21
黄岐	n_new	13.00	7
财务	n	12.98	26
贡献奖	n_new	12.97	6
女人	n	12.94	32
纳税	vi	12.90	11
文化测试	n_new	12.88	5
英联邦	n_new	12.88	5
马来教师	n_new	12.88	5
价格波动	n_new	12.88	5
远洋渔业	n_new	12.88	10
标志雪铁龙	n_new	12.88	5
薪酬	n_new	12.88	5
知情权	n_new	12.88	5
姚老板	n_new	12.86	3
软件	n	12.85	31
处于	v	12.85	20
起来	vf	12.82	21
测光	n_new	12.80	9
感到	v	12.76	15
全市	n	12.74	18
作出	v	12.70	16
教师	n	12.70	16
股份有限公司	n_new	12.70	21
证券	n	12.67	23
死亡	vi	12.67	33
传统	n	12.64	18
西方国家	n_new	12.63	4
帮助发展中国家	n_new	12.63	4
中国足球	n_new	12.63	4
平均票价	n_new	12.63	4
引领	n_new	12.63	4
财务顾问	n_new	12.63	4
国际油价	n_new	12.63	4
国际米兰	n_new	12.63	4
企稳	n_new	12.63	4
数码相机	n_new	12.63	4
相机	n	12.63	14
加入	v	12.61	11
肯定	v	12.61	11
保证	v	12.60	13
注意	v	12.59	18
道歉	vi	12.59	24
父亲	n	12.58	15
迪拜塔	n_new	12.58	3
体系	n	12.56	12
意识	n	12.56	12
避免	v	12.54	11
违规	vd	12.53	16
过程	n	12.53	33
批准	v	12.51	15
内容	n	12.50	19
总体	n	12.49	17
类型	n	12.48	10
完善	v	12.48	12
证明	v	12.48	13
有所	v	12.46	12
宇航员	n	12.46	12
权利	n	12.46	30
院士	n	12.46	15
坚持	v	12.44	11
老人	n	12.43	23
录取	vn	12.43	14
平台	n	12.42	20
吸引	v	12.41	13
奖项	n	12.41	19
办理	v	12.41	12
力度	n	12.39	21
互联网	n	12.39	13
程序	n	12.39	19
空调	n	12.37	12
交通运输	n_new	12.34	6
基本	a	12.34	43
购物	vn	12.34	25
新房	n	12.33	13
价值	n	12.32	15
选拔	v	12.27	13
资料	n	12.27	22
奖	n	12.24	77
婚姻	n	12.23	26
合约	n	12.23	15
导致	v	12.23	16
形象	n	12.22	14
道路	n	12.20	18
预计	v	12.16	23
一些	mq	12.14	65
快慢班	n_new	12.13	4
分配	vn	12.13	15
全面	a	12.13	30
台球	n	12.10	19
一般	a	12.08	33
东西	n	12.04	19
10	m	12.03	85
法庭审理	n_new	12.01	11
思路	n	11.99	17
3	m	11.95	117
间谍	n	11.82	10
平头男	n_new	11.80	3
认识	v	11.79	26
法庭	n	11.77	27
　		11.71	4512
指标	n	11.67	11
业主	n	11.66	27
英文	nz	11.64	12
属于	v	11.63	13
商品	n	11.62	16
局长	n	11.62	23
号码	n	11.61	24
看见	v	11.61	11
农村	n	11.61	14
酒吧	n	11.61	11
年龄	n	11.60	14
老虎	n	11.60	13
配合	v	11.60	11
正式	ad	11.60	31
欢迎	vn	11.59	13
官员	n	11.57	10
销量	n	11.57	12
艺人	n	11.57	12
进口量	n	11.57	12
呈现	v	11.57	11
期货	n	11.56	13
组建	v	11.56	19
优势	n	11.55	22
协议	n	11.55	16
遗书	n	11.55	16
国家安监总局	n_new	11.55	10
工人	n	11.54	13
培训	vn	11.54	11
违法	vi	11.53	11
置换	vn	11.53	11
启动	v	11.53	20
配备	v	11.53	14
同志	n	11.52	20
充满	v	11.51	12
回来	v	11.51	12
质量	n	11.51	14
强调	v	11.51	14
拆除	v	11.51	15
预期	vn	11.51	14
手段	n	11.51	13
开通	v	11.51	13
政治	n	11.50	14
税收	n	11.50	11
电子	n	11.48	12
材料	n	11.48	12
享受	v	11.48	12
优化	vd	11.48	13
公路	n	11.46	10
降低	v	11.46	10
电视台	n	11.46	10
承认	v	11.46	11
翻译	vn	11.46	11
作用	n	11.45	34
学术	n	11.44	13
生态	n	11.44	15
落实	v	11.44	11
找到	v	11.42	13
伤害	v	11.42	13
位置	n	11.42	14
1000	m	11.42	7
留言	n	11.40	14
能否	v	11.40	11
具备	v	11.40	11
引发	v	11.40	11
中奖	vi	11.40	11
搜狐	nz	11.39	17
申报	vn	11.39	12
方向	n	11.38	16
港口	n	11.37	14
资产	n	11.37	19
一直	d	11.35	62
挑战	vn	11.35	19
居住	vn	11.33	15
特色	n	11.33	21
玻璃	n	11.32	14
账户	n	11.31	14
大会	n	11.29	15
系列	n	11.28	19
专题票	n_new	11.27	8
北京	ns	11.25	59
博客	nz	11.25	13
唐琬	nr	11.23	16
景观	n	11.23	15
积极	a	11.23	26
危机	n	11.21	35
保险	n	11.20	25
安全	ad	11.19	63
进口车市场	n_new	11.19	4
成功	a	11.18	33
小时	n	11.13	23
态度	n	11.11	16
财产损失	n_new	11.09	7
甲流	n_new	11.04	5
东方明珠	n_new	11.04	5
东方卫视	n_new	11.03	6
第一	m	11.01	82
复检	n_new	11.00	8
自主	vd	10.97	42
正在	d	10.97	39
说明	v	10.96	31
分别	d	10.91	42
商品房销售	n_new	10.90	6
上海书城	n_new	10.89	3
循环经济	n_new	10.89	5
黄河三角洲	n_new	10.89	5
老板	n	10.89	13
状态	n	10.81	20
播出	v	10.80	8
板块	n	10.79	13
结合	v	10.79	9
夫妇	n	10.79	14
100	m	10.79	18
巡展	v	10.78	18
邀请	v	10.77	12
明确	a	10.76	30
2010年	t	10.75	24
训练	v	10.74	19
2	m	10.74	111
组合	n	10.74	8
教练	n	10.73	14
开庭审理	n_new	10.70	7
五一广场	n_new	10.70	12
保利地产	n_new	10.70	6
货币政策	n_new	10.70	8
资产泡沫	n_new	10.69	8
反应	vi	10.69	10
远东地区	n_new	10.69	4
矿产资源	n_new	10.69	4
职业生涯	n_new	10.69	4
二手物品	n_new	10.69	4
澳洲广场	n_new	10.69	8
上海男篮	n_new	10.69	4
骗婚	n_new	10.69	4
华文科目	n_new	10.69	4
创造	v	10.68	11
中路	n	10.68	12
有效	ad	10.68	34
金融衍生产品业务	n_new	10.66	23
男友	n	10.66	9
举报	vn	10.66	10
授权	v	10.66	10
不断	d	10.66	37
所长	n	10.66	12
焦点	n	10.64	12
建成	v	10.64	18
统一	ad	10.64	37
促进	vn	10.64	19
留下	v	10.63	11
担心	v	10.63	11
性能	n	10.63	11
预售	vn	10.63	11
因素	n	10.63	15
不同	a	10.62	48
教授	n	10.61	9
商店	n	10.61	11
女孩	n	10.60	15
利润	n	10.60	13
旗袍	n	10.60	13
教学	vn	10.60	11
满足	v	10.59	9
总局	n	10.59	29
球迷	n	10.59	9
原告	n	10.59	9
事实	n	10.59	12
显得	v	10.59	12
务实合作	n_new	10.57	6
福利待遇	n_new	10.57	6
申购	v	10.56	15
数字	n	10.55	10
听到	v	10.55	10
评估	vn	10.55	10
炒作	v	10.55	10
乘客	n	10.54	13
实际	n	10.53	11
队伍	n	10.53	11
运行	vn	10.53	11
品种	n	10.53	11
名单	n	10.53	11
售价	n	10.53	11
石油	n	10.53	8
有着	v	10.53	8
投诉	vn	10.53	8
带有	v	10.53	8
上报	vi	10.53	8
国内	s	10.52	69
加快	v	10.52	18
审核	v	10.52	14
受伤	vi	10.52	14
和平	n	10.51	10
制定	v	10.51	10
反复	vi	10.51	10
虚假广告	n_new	10.51	4
销售基准价	n_new	10.51	4
登高观光	n_new	10.51	4
督查	vn	10.50	17
金额	n	10.49	11
距离	n	10.49	11
轿车	n	10.49	11
新华社记者	n_new	10.49	5
华文	nz	10.49	14
合约市值	n_new	10.49	5
变成	v	10.47	13
引进	v	10.47	9
幅度	n	10.47	9
判断	vn	10.47	9
补偿	vn	10.47	9
进球	n	10.47	9
期权	n	10.47	9
工商局	n	10.47	19
风格	n	10.46	14
意见	n	10.46	12
目的	n	10.46	13
增强	v	10.44	10
核查	vn	10.44	10
成果	n	10.44	13
人气	n	10.44	10
知识	n	10.44	12
统计	vn	10.44	15
走势	n	10.42	13
核心	n	10.41	14
环球	nz	10.41	29
讲述	v	10.40	12
同步	vd	10.39	11
幼儿园	n	10.39	16
运输	vn	10.39	15
复苏	vn	10.39	19
升级	vi	10.38	14
职能	n	10.37	18
形式	n	10.37	15
工作岗位	n_new	10.37	3
政府首脑	n_new	10.37	3
投资决策	n_new	10.36	3
黄兴	n_new	10.36	3
医务人员	n_new	10.36	3
上海市人大代表	n_new	10.36	3
异常反应	n_new	10.36	3
陈先生	n_new	10.36	3
如实申报	n_new	10.36	3
物业管理	n_new	10.36	3
世界台联	n_new	10.36	3
土地出让	n_new	10.36	3
最佳新人	n_new	10.36	3
10月 新增	n_new	10.36	3
开采权	n_new	10.36	3
练球	n_new	10.36	3
电影制作者	n_new	10.36	3
掘金	n_new	10.36	3
产能过剩	n_new	10.36	6
回执单	n_new	10.36	3
增城体育馆	n_new	10.36	3
地块	n	10.36	11
采访	vn	10.36	15
图片	n	10.34	34
最高	a	10.34	32
扩大	v	10.31	15
协会	n	10.31	16
形势	n	10.30	14
大片	n	10.30	14
财产	n	10.29	15
程度	n	10.29	18
必须	d	10.29	52
时候	n	10.28	63
乐队	n	10.28	15
男主角	n_new	10.24	5
经历	v	10.22	14
双边关系	n_new	10.20	4
登船	n_new	10.19	4
无序增长	n_new	10.19	4
最低气温	n_new	10.19	4
购房家庭	n_new	10.19	4
人工成本	n_new	10.19	4
板砖	n_new	10.19	2
闲置品	n_new	10.19	2
东风恶	n_new	10.19	2
煤炭订货会	n_new	10.19	2
pI 制	n_new	10.19	2
掌控	n_new	10.19	4
线路	n	10.17	14
衣服	n	10.16	15
补充医疗	n_new	10.09	5
重庆彭水	n_new	10.09	5
调研督导	n_new	10.09	5
年度	n	10.05	16
国内漫游	n_new	10.03	6
公交线路	n_new	10.03	6
十分	d	10.01	27
完全	ad	9.96	21
加上	v	9.95	15
普遍	ad	9.94	20
机关	n	9.93	18
义务	n	9.93	23
值得	v	9.90	19
直接	ad	9.89	24
特别	d	9.89	39
不能	v	9.82	19
中学	n	9.80	21
体育馆	n	9.77	27
回升	v	9.77	9
巡警	n	9.77	18
歌手	n	9.75	12
听说	v	9.74	6
执法	vn	9.74	9
高中	n	9.74	19
劳保费	n_new	9.70	6
现象	n	9.69	21
邻居	n	9.68	10
疫苗	n	9.67	13
理解	v	9.67	9
影像	n	9.67	9
熟悉	v	9.66	12
路段	n	9.66	14
8	m	9.65	37
二手车	n	9.65	18
先生	n	9.63	35
女子	n	9.63	11
对手	n	9.63	11
组成	v	9.63	14
优惠	vn	9.62	15
集体	n	9.62	9
画面	n	9.62	9
效应	n	9.62	9
法规	n	9.61	15
贯彻	v	9.61	11
工商	n	9.60	12
回到	v	9.60	12
禁止	v	9.60	10
女士	n	9.60	10
认定	v	9.60	10
上网	vn	9.60	10
督察	vn	9.60	10
机身	n	9.60	10
实力	n	9.59	11
天气	n	9.59	11
夫妻	n	9.59	11
受理	v	9.59	14
青年	n	9.59	8
改善	v	9.59	8
运动员	n	9.59	8
研究所	n	9.59	8
世锦赛	n	9.59	13
男士	n	9.58	7
遇到	v	9.57	10
批评	v	9.57	12
愿意	v	9.57	12
外援	n	9.56	12
灾难	n	9.56	11
参赛	vn	9.55	13
经理	n	9.55	9
并非	v	9.55	9
分为	v	9.55	9
流行	v	9.55	9
涨幅	n	9.55	9
签约	vi	9.55	9
识别	v	9.55	9
整合	vn	9.55	9
研究院	n	9.55	9
时期	n	9.55	12
产能	vn	9.54	16
方便	v	9.53	10
车站	n	9.53	10
允许	v	9.52	8
车主	n	9.52	8
球	n	9.52	53
二手货	n	9.52	13
试点区	n	9.52	13
用户	n	9.51	7
不得	vi	9.51	7
予以	vx	9.51	7
寻找	v	9.51	7
出售	v	9.51	7
高于	v	9.51	7
接近	v	9.51	7
获取	v	9.51	7
连接	v	9.51	7
驾驶员	n	9.51	7
尺寸	n	9.51	7
打电话	vi	9.50	13
维护	v	9.50	9
参考	v	9.50	9
遭遇	v	9.50	9
质疑	vi	9.50	9
部分	m	9.50	53
规则	n	9.49	11
赶到	v	9.49	11
公平竞赛	n_new	9.49	5
电视	n	9.49	10
配套	vn	9.49	10
客车	n	9.47	8
车祸	n	9.47	8
感情	n	9.45	14
协调	vn	9.45	12
在于	v	9.45	8
陷入	v	9.45	10
称为	v	9.45	8
提前	vd	9.45	8
全年	n	9.45	11
地点	n	9.45	8
研发	v	9.45	8
工具	n	9.45	14
飞行	vn	9.44	12
模式	n	9.44	24
资本	n	9.43	11
试验	vn	9.43	11
资格	n	9.42	9
维持	v	9.42	9
事项	n	9.42	9
缺乏	v	9.42	10
不知	v	9.42	10
公民	n	9.42	11
救助	vn	9.42	11
待遇	n	9.41	11
依赖	vn	9.39	21
书记	n	9.39	30
前景	n	9.38	10
食客	n	9.38	12
谈判	vn	9.38	10
房子	n	9.38	9
娱乐	vn	9.38	9
公益	n	9.38	9
年轻人	n	9.36	13
线	n	9.36	154
做法	n	9.36	14
国有	vn	9.35	13
钥匙	n	9.35	11
概念	n	9.34	14
监督	vn	9.34	16
公安	n	9.34	18
立法	vn	9.33	11
贺岁片	n	9.33	11
食品	n	9.33	13
奥斯卡	nz	9.33	9
富有	v	9.31	13
评论	n	9.30	11
世纪	n	9.30	13
适应	v	9.29	12
美食	n	9.28	13
滨港	n_new	9.28	20
5	m	9.26	79
重大	a	9.24	31
开启	v	9.23	11
下来	vf	9.20	10
倒钩	n_new	9.20	2
次要科	n_new	9.20	2
性	ng	9.20	34
南京西	n_new	9.15	7
公众集资	n_new	9.14	7
事业	n	9.13	12
话题	n	9.12	15
彩民	nr2	9.12	7
国内漫游费	n_new	9.09	6
中年男子	n_new	9.05	5
进一步	d	9.03	31
确保	v	9.01	14
唱酬	n_new	8.99	6
15万	m	8.98	6
最终	d	8.96	37
所有	b	8.96	46
十一	m	8.93	7
中共重庆	n_new	8.92	6
球世锦赛	n_new	8.92	6
地球	n	8.91	12
苏珊	nr2	8.89	9
一起	d	8.85	44
期	ng	8.85	55
行情	n	8.84	13
第四	m	8.83	9
海盗	n	8.80	12
可以看出	n_new	8.80	5
播放	v	8.79	11
出租汽车经营	n_new	8.79	3
热线电话	n_new	8.79	3
调座位	n_new	8.79	3
6	m	8.78	49
