Word	Part-Of-Speech	Weight	Frequency
组织	n	29.75	68
链上天眼	n_new	29.58	22
人才	n	29.52	99
舰岛	n_new	29.40	22
处于	v	29.24	50
银行	n	29.12	63
代表	n	29.11	69
出现	v	29.04	69
生态	n	28.93	87
弹射器	n_new	28.81	37
挖矿	n_new	28.61	25
还有	v	28.45	44
发布	v	28.37	91
建立	v	28.32	68
获得	v	28.28	58
改变	v	28.18	50
天涯	n	28.17	116
时代	n	27.82	113
货币	n	27.68	186
中心化	n_new	27.67	59
出海	vi	27.52	73
历史	n	27.47	70
军事	n	27.40	44
研发	v	27.40	49
万向区块链	n_new	27.34	14
稳定币	n_new	27.23	22
资源	n	27.22	77
情况	n	27.20	104
帮助	v	27.12	63
供应链	n_new	26.94	19
利用	v	26.93	58
安全框架	n_new	26.88	24
就是	v	26.81	91
持续	vd	26.80	54
支付	vn	26.79	41
活动	vn	26.76	84
本土中文教师	n_new	26.68	25
加入	v	26.66	47
专家	n	26.63	43
国产航母	n_new	26.50	65
培养	v	26.49	80
打击	v	26.44	56
推进	vi	26.38	60
知识	n	26.35	70
应用场景	n_new	26.19	36
动力	n	26.11	67
模式	n	26.08	84
需求	n	25.97	107
维护	v	25.97	48
具备	v	25.85	45
加强	v	25.84	41
开发	vn	25.83	72
英语	nz	25.77	59
监管	vn	25.70	83
产生	v	25.68	50
区块链星球	n_new	25.65	26
实施	vn	25.62	45
职业	n	25.62	66
生活	vi	25.61	68
发挥	v	25.58	51
报告	n	25.50	64
开展	v	25.41	54
团队	n	25.41	63
保护	vn	25.38	51
国民教育体系	n_new	25.12	23
单位	n	25.03	39
全国	n	25.02	33
启动	v	25.01	41
效率	n	25.00	43
执行	vn	24.96	39
分析	vn	24.93	79
升降机	n	24.91	41
来自	v	24.80	50
老师	n	24.78	62
华侨华人	n_new	24.69	29
力量	n	24.67	71
网站	n	24.63	45
课堂	n	24.59	83
战争	n	24.48	52
影响	vn	24.37	62
政务服务	n_new	24.24	19
推出	v	24.19	54
制造	v	24.16	39
轻型航母	n_new	24.14	12
测试	vn	24.13	52
保持	v	24.08	31
政府	n	24.07	52
性能	n	24.05	39
展开	v	24.03	38
负责	v	24.02	35
任务	n	24.00	69
国际公共产品	n_new	23.98	32
规模	n	23.74	60
社区	n	23.67	94
解决方案	n_new	23.50	27
开放	v	23.34	37
受到	v	23.29	34
教授	n	23.26	32
潜艇	n	23.20	43
部门	n	23.20	46
运营	vn	23.16	42
数量	n	23.14	45
舰	ng	23.11	351
降落	vi	23.08	53
重点	n	23.07	44
速度	n	23.06	40
增加	v	23.03	57
行动	vn	22.96	42
结果	n	22.95	55
起来	vf	22.94	55
楼主	n_new	22.90	174
越来越多	n_new	22.82	35
水平	n	22.67	94
用于	v	22.67	34
试验	vn	22.65	44
通证	n_new	22.56	18
2020年	t	22.55	57
论坛	n	22.50	31
参加	v	22.38	32
天涯社区	n_new	22.32	53
打造	v	22.22	45
考试	vn	22.22	56
电磁弹射	n_new	22.21	18
导致	v	22.19	51
目标	n	22.17	67
个人	n	22.11	58
知道	v	22.11	70
重要	a	22.00	163
基础	n	21.96	83
太平洋	nt	21.95	56
新闻	n	21.94	155
舰艇	n	21.93	47
升级	vi	21.55	40
结构	n	21.51	30
实际	n	21.50	34
距离	n	21.47	28
控制	vn	21.44	28
调整	v	21.41	33
区块链峰会	n_new	21.39	7
传统	n	21.37	90
联合	v	21.34	43
机会	n	21.33	64
非常	d	21.32	99
接受	v	21.32	30
机库	n	21.31	36
炸弹	n	21.27	37
华文教育	n_new	21.26	25
成员	n	21.26	36
操作	vn	21.22	42
品牌	n	21.15	37
政策	n	21.07	39
风险	n	20.99	54
趋势	n	20.98	66
核心	n	20.96	55
拦阻索	n_new	20.95	14
功能	n	20.80	32
加速	vd	20.72	29
安装	v	20.71	26
排水量	n	20.64	43
日本	nsf	20.60	171
私有链	n_new	20.56	10
维修	v	20.53	28
中国海军	n_new	20.46	21
交易所	n	20.46	43
理解	v	20.44	45
分为	v	20.43	30
降低	v	20.42	35
方向	n	20.33	49
教材	n	20.33	30
上涨	vi	20.32	44
米勒	nrf	20.30	16
提高	v	20.28	40
关系	n	20.23	40
优势	n	20.23	58
华裔家庭	n_new	20.22	16
华侨华人子女	n_new	20.17	11
成立	vi	20.12	77
文章	n	20.06	53
学院	n	20.01	135
消息	n	19.92	44
华文教育基金会	n_new	19.83	14
击沉	v	19.78	37
获取	v	19.77	40
搭载	v	19.76	32
讨论	vn	19.74	28
缺乏	v	19.72	24
行情	n	19.72	34
尝试	v	19.68	27
币	ng	19.67	307
航空	n	19.65	28
带来	v	19.63	67
人士	n	19.56	34
决定	v	19.54	29
基地	n	19.52	35
战机	n	19.50	27
处理	vn	19.49	90
造成	v	19.49	39
人类	n	19.48	39
传播	vn	19.47	56
促进	v	19.46	44
结合	v	19.44	45
创业邦	n_new	19.44	31
情感	n	19.38	38
爆炸	v	19.36	54
环境	n	19.30	66
意义	n	19.24	52
正式	ad	19.21	101
一	m	19.19	1074
加密	vn	19.16	101
集团	n	19.12	57
华人	n	19.04	72
空中支援	n_new	18.93	20
训练	vn	18.91	31
服役	vi	18.89	54
考虑	v	18.88	35
支撑	vn	18.88	33
核动力	n	18.87	56
舰体	n_new	18.81	16
运行	vn	18.79	56
作用	n	18.78	82
人们	n	18.78	42
航行	vn	18.78	33
得到	v	18.78	39
满足	v	18.74	39
语法	n	18.74	32
鱼雷	n	18.71	29
赛道	n	18.70	34
记者	n	18.66	33
方法	n	18.66	39
空间	n	18.66	33
分类	vi	18.65	43
海洋	n	18.65	29
学员	n	18.63	37
开工建造	n_new	18.62	9
机制	n	18.61	54
协议	n	18.61	32
军舰	n	18.58	32
中文学习者	n_new	18.57	23
防空	vn	18.57	34
阶段	n	18.56	61
技能	n	18.54	46
斜角甲板	n_new	18.54	9
竞争	vd	18.52	43
表示	v	18.51	154
华裔	n	18.44	73
  	n	18.39	63
语言文字	n_new	18.32	20
程度	n	18.29	48
地位	n	18.23	49
共享	v	18.18	87
宣布	v	18.09	30
有关	vn	18.08	23
完全	ad	18.06	67
分享	vn	18.04	29
改装	v	18.00	28
举办	v	17.99	34
主要	d	17.97	118
出来	vf	17.96	47
担任	v	17.92	19
激励	v	17.92	25
实力	n	17.91	41
喜欢	vi	17.91	27
船体	n	17.90	24
实体	n	17.89	48
和平	n	17.88	24
青少儿	n_new	17.86	22
报道	v	17.83	68
高度	n	17.82	30
海域	n	17.81	22
韭菜	n	17.79	63
制定	v	17.78	27
链	ng	17.77	1886
指挥	v	17.76	26
商业	n	17.75	34
起降	vi	17.75	54
参考	v	17.74	39
运用	v	17.72	28
智库	n_new	17.69	15
医疗	n	17.55	42
兴趣	n	17.49	44
指导	vn	17.47	34
全球治理体系	n_new	17.45	12
驱逐舰	n	17.39	24
原因	n	17.32	50
方案	n	17.31	51
本土	n	17.29	49
防御	vn	17.28	23
垂直起降	n_new	17.27	15
有着	v	17.27	20
规划	n	17.26	43
　		17.13	3267
大国	n	17.13	31
会议	n	17.11	27
掌握	v	17.11	26
消费	vn	17.08	21
出动	v	17.08	20
装置	n	17.07	28
常规动力	n_new	17.07	16
肯定	v	17.07	27
家长	n	17.06	38
验证	v	17.04	19
投资者	n	17.03	28
教育部	nt	17.01	46
止损	n_new	17.01	8
引导	v	16.99	28
创造	v	16.97	25
协会	n	16.97	33
双方	n	16.96	25
直升机	n	16.96	31
融资	vn	16.92	38
支援	v	16.86	38
授权	v	16.86	33
现实	n	16.85	35
确权	n_new	16.84	7
基金会	n	16.84	62
改革	vn	16.84	37
布局	n	16.83	38
电子	n	16.82	35
融合	vn	16.80	58
对外汉语	n_new	16.79	11
公有链	n_new	16.76	8
时间戳	n_new	16.76	8
密钥	n_new	16.76	8
线	n	16.75	282
数字化	vn	16.74	38
过去	vf	16.67	34
合作伙伴	n_new	16.55	7
分布式账本	n_new	16.52	9
不同	a	16.52	108
学习者	n	16.51	52
腾讯	nz	16.47	113
社交媒体	n_new	16.47	13
知识产权	n_new	16.47	16
围绕	v	16.40	25
双语	n_new	16.39	14
范围	n	16.34	45
觉得	v	16.32	26
区域	n	16.29	26
水面舰艇	n_new	16.27	14
强调	vd	16.25	28
部队	n	16.23	18
舰船	n	16.22	19
构建	v	16.22	42
体验	v	16.21	21
研制	v	16.21	23
经验	n	16.20	55
能否	v	16.18	20
自然语言处理	n_new	16.17	55
探索	v	16.16	35
公链	n_new	16.12	13
战斗	vn	16.11	52
公开	v	16.10	26
面对	v	16.09	20
西太平洋	n_new	16.09	12
只能	v	16.09	26
保证	v	16.08	37
从事	vi	16.06	26
网友	n	16.06	26
目前	t	16.05	211
汉字	nz	16.01	37
整体	n	16.01	24
离开	v	16.00	23
file	n	15.97	380
科技有限公司	n_new	15.93	13
设置	vn	15.93	23
故事	n	15.92	41
吸引	v	15.92	33
外国人	n	15.92	31
正在	d	15.91	83
值得	v	15.91	28
位置	n	15.89	32
时期	n	15.89	32
效果	n	15.88	32
挑战	vn	15.86	28
场景	n	15.86	79
增长	v	15.84	60
直接	a	15.83	59
爆发	vn	15.83	40
外国	n	15.82	38
编队	n	15.81	60
计算	vn	15.73	36
预计	v	15.63	29
统计	v	15.58	32
返回	v	15.57	43
伊丽莎白女王	n_new	15.52	42
冲击	vn	15.50	45
俱乐部	n	15.47	18
所谓	v	15.38	23
认识	v	15.31	24
证明	v	15.31	15
重视	v	15.30	31
飞行	vn	15.29	113
采取	v	15.28	19
版权	n	15.28	25
建成	v	15.26	14
质量	n	15.24	56
完善	v	15.23	34
母港	n_new	15.23	8
发行	v	15.17	24
突破	vn	15.17	28
面向	v	15.17	25
主流	n	15.16	32
观察	v	15.15	54
蒸汽	n	15.14	27
感觉	v	15.14	23
实践	vn	15.13	34
案例	n	15.10	34
外籍师生	n_new	15.07	8
利益	n	15.07	24
生产	vn	15.06	29
形式	n	15.04	32
作战半径	n_new	15.04	10
智能	n	15.04	43
投入	v	15.04	28
在线	vn	15.03	37
弹药	n	15.03	17
共识	n	15.02	34
难度	n	15.02	24
影子系统	n_new	15.01	7
资本	n	14.99	31
词频统计	n_new	14.96	13
目的	n	14.91	25
阻拦索	n_new	14.91	6
隐身战斗机	n_new	14.91	6
存证	n_new	14.86	9
量子	n	14.85	22
return value return	n_new	14.81	28
剑桥量子	n_new	14.78	5
不可篡改	n_new	14.75	10
研习营	n_new	14.72	7
稳步推进	n_new	14.58	6
状态	n	14.55	35
区块链江湖	n_new	14.55	3
飞行甲板涂料	n_new	14.54	4
组成	v	14.52	28
说明	vn	14.50	30
文本	n	14.48	40
介绍	v	14.46	30
失去	v	14.44	15
系留	n_new	14.44	7
相控阵雷达	n_new	14.44	7
购买	v	14.43	17
费用	n	14.39	25
比赛	vn	14.38	27
框架	n	14.37	50
满载排水量	n_new	14.36	10
位于	v	14.36	15
负责人	n	14.35	16
矿工	n	14.31	19
工程	n	14.30	25
官方	n	14.30	20
出版	vn	14.28	21
减少	v	14.28	18
提出	v	14.28	40
主席	n	14.26	17
轰炸机	n	14.23	17
报名	vi	14.20	17
定义	n	14.19	17
青少儿中文	n_new	14.19	11
跟踪	vn	14.17	23
雷达	n	14.17	24
表达	v	14.15	20
人工智能	n	14.15	43
东西	n	14.14	18
授课	vi	14.13	23
机场	n	14.13	17
转移	v	14.11	24
整合	vn	14.09	21
类型	n	14.09	19
委员会	n	14.07	24
英国	ns	14.06	148
诞生	vn	14.05	26
深度	n	14.05	27
文件	n	14.05	47
比较	d	14.04	58
访问	v	14.04	24
人民币	n	14.02	60
filecoin	n	13.97	14
一直	d	13.95	69
对外	vn	13.93	23
防控	n_new	13.93	13
海外	s	13.90	179
变革	vn	13.89	45
乔桂霞	nr	13.89	25
农业	n	13.84	33
区块链内外	n_new	13.79	2
回收舰载机	n_new	13.79	2
空中支援随叫随到	n_new	13.79	2
舰长	n	13.72	28
炒作	v	13.70	29
引领	n_new	13.70	18
更加	d	13.69	51
多	m	13.69	624
必须	d	13.68	64
过程	n	13.64	77
有效	a	13.62	68
派中文教师	n_new	13.61	10
确保	v	13.58	21
海上	s	13.56	86
告诉创业邦	n_new	13.55	12
失败	vn	13.54	58
固定翼	n_new	13.54	8
治理	vn	13.52	50
央行	n	13.50	16
中华	nz	13.48	118
作者	n	13.47	477
贸易	vn	13.46	16
飞行员	n	13.44	19
做出	v	13.42	19
收入	n	13.42	20
完工	vi	13.42	18
区块链黑客	n_new	13.40	14
全世界	n	13.40	30
有所	v	13.39	12
适合	v	13.39	17
沟通	v	13.39	12
供应商	n	13.39	12
策略	n	13.39	16
系列	n	13.38	36
吨位	n	13.37	17
举行	v	13.36	24
找到	v	13.35	14
寻找	v	13.35	23
适应	v	13.34	16
事件	n	13.34	20
音乐	n	13.33	17
称为	v	13.33	20
生产关系	nl	13.30	27
接近	v	13.29	17
落地	vn	13.28	40
旅游	vn	13.28	22
承担	v	13.28	14
科钦	n_new	13.25	9
不断	d	13.24	98
苏联解体	n_new	13.24	12
移动	vn	13.24	30
朋友	n	13.23	17
逻辑	n	13.22	17
特色	n	13.21	18
在于	v	13.21	17
属于	v	13.21	19
主题	n	13.14	25
面临	v	13.12	38
以下简称	n_new	13.12	10
面积	n	13.12	18
算法	n	13.11	21
汉语言文学	n_new	13.11	9
战斗力	n	13.08	26
协作	vi	13.06	18
身份	n	13.05	28
信任	vn	13.05	24
合约	n	13.02	39
滑跃	n_new	13.01	13
蒸汽弹射	n_new	13.01	11
中央银行	n_new	13.00	7
影响力	n	12.98	34
唯独区块链	n_new	12.96	5
钛媒体	n_new	12.93	8
创业	vi	12.90	50
年代	n	12.89	22
责任	n	12.89	52
数字欧元	n_new	12.88	5
舾装工作	n_new	12.88	5
海军上将	n_new	12.88	5
v神	n_new	12.88	5
资本实验室	n_new	12.87	13
成功	a	12.86	64
舱壁	n_new	12.82	7
底层	n	12.80	31
隔舱	n_new	12.79	8
链接	n_new	12.78	21
垂直	vd	12.75	36
人数	n	12.65	52
封闭机库	n_new	12.63	4
止盈	n_new	12.63	4
母舰	n	12.60	18
结束	v	12.60	21
魔法汉字	n_new	12.58	3
热议	n_new	12.57	12
签署	v	12.57	17
调查	v	12.56	13
进度	n	12.55	14
发出	v	12.54	13
初始化失败	n_new	12.51	20
敌方	n	12.49	15
出发	vi	12.48	15
中国声音	n_new	12.48	9
描述	vn	12.48	27
官网	n_new	12.47	6
币价	n_new	12.47	6
NFT热潮	n_new	12.47	6
国防	n	12.46	16
供给	vn	12.46	32
基本	a	12.45	39
语文	n	12.45	16
华裔儿童	n_new	12.45	8
公布	v	12.44	20
综合	vn	12.44	19
试图	v	12.44	11
小时	n	12.43	28
工业	n	12.42	16
等级	n	12.42	33
国防部	n	12.41	17
呼吁	v	12.41	13
接触	v	12.41	15
监控	vn	12.41	12
配备	v	12.40	16
编辑	n	12.38	47
记录	n	12.37	12
迎来	v	12.37	19
是否	v	12.36	21
判断	vn	12.36	13
梦想	n	12.35	19
定位	vn	12.35	20
商会	n	12.34	17
领先	vn	12.33	20
发射	v	12.33	14
下一代	n	12.32	17
共同	d	12.31	62
航母终于	n_new	12.31	10
卫星	n	12.31	16
变化	vn	12.29	41
家庭	n	12.29	30
打开	v	12.28	21
华侨	n	12.26	63
利好	n	12.25	20
对象	n	12.24	18
二战	n	12.24	25
办学	vi	12.24	16
组件	n	12.23	57
下来	vf	12.22	21
互动	vn	12.21	24
想象	v	12.20	24
理念	n	12.19	32
记账	vn	12.16	18
角色	n	12.16	23
data	n	12.15	52
聚类	n_new	12.15	10
涂层	n	12.13	28
角度	n	12.11	20
看看	v	12.11	20
涉及	v	12.04	22
汉语桥	n_new	12.04	9
时候	n	12.01	105
巡洋舰	n	11.98	10
特点	n	11.97	33
一些	mq	11.91	84
第一	m	11.90	166
废船	n_new	11.89	6
最新	a	11.81	50
有限公司	n	11.78	29
区块	n	11.76	1592
指挥官	n	11.76	14
扩大	v	11.74	32
事业	n	11.73	25
估计	v	11.68	15
进展	vn	11.65	13
自主	vd	11.63	20
覆盖	v	11.62	19
上层建筑	nl	11.61	12
筹码	n	11.60	16
发明	n	11.59	9
级别	n	11.58	19
配置	v	11.57	10
辅助	vn	11.57	12
相信	v	11.57	18
坚持	v	11.56	13
现有	v	11.55	19
申请	v	11.55	16
皇家海军	n_new	11.55	7
交付	v	11.55	18
国际化	vn	11.54	18
下跌	vi	11.54	19
反潜	vn	11.54	19
标准化	vi	11.53	11
入列	v	11.53	11
艺术品	n	11.53	20
意味着	v	11.53	22
预期	vn	11.52	15
创建	v	11.51	12
成长	vn	11.51	20
恢复	v	11.50	14
发起	v	11.50	11
祖国	n	11.49	17
陆地	n	11.49	15
热点	n	11.49	20
召开	v	11.48	16
创始人	n	11.48	16
商品	n	11.48	13
改造	vn	11.48	13
加大	v	11.47	15
回归	v	11.46	10
愿意	v	11.46	10
安全性	n	11.46	10
机翼	n	11.46	10
成果	n	11.45	22
输出	v	11.45	16
市值	n	11.44	13
联系	v	11.44	21
沉没	vi	11.44	16
summary	n	11.42	22
流行	vn	11.42	15
推广	vn	11.41	16
母语	n	11.40	16
习惯	n	11.40	12
军费	n	11.40	14
回到	v	11.39	13
思考	v	11.39	17
格局	n	11.37	15
回国	vi	11.37	16
构成	v	11.36	22
花费	v	11.36	13
为主	vi	11.36	21
亏损	vn	11.35	12
协同	vd	11.35	12
智慧	n	11.35	18
鼓励	v	11.35	17
牛市	n	11.34	16
注册	vn	11.34	46
对手	n	11.34	14
区别	n	11.33	23
工具	n	11.31	29
文学	n	11.31	22
告诉	v	11.29	28
避免	v	11.29	12
地方	n	11.29	31
院长	n	11.29	23
通信	vn	11.29	16
造船厂	n	11.29	23
预测	v	11.28	27
词汇	n	11.28	17
师资	n	11.27	21
虚拟	v	11.27	40
核潜艇	n	11.26	27
处在	v	11.25	13
甚至	d	11.22	61
手段	n	11.22	24
峰会	n	11.22	17
中方	n	11.21	15
不可	v	11.21	19
越来越	d	11.19	87
贡献	n	11.18	30
环球网	ntz	11.17	15
感受	v	11.17	21
认可	vi	11.14	20
传递	v	11.13	16
提到	v	11.12	32
主任	n	11.11	19
欢迎	v	11.09	21
同比增长	n_new	11.07	11
合规	n_new	11.05	19
账本	n	11.03	21
cLUS_Init	n	11.02	14
比如	v	11.00	37
keyExtract	n	10.98	27
呈现	v	10.97	25
链转移	n_new	10.96	10
设施	n	10.96	33
很多	m	10.94	129
纪念	v	10.94	15
校长	n	10.92	23
中方院长	n_new	10.90	6
directory	n	10.90	48
词汇本体	n_new	10.89	5
计算机	n	10.88	25
直播课	n_new	10.84	9
累计	vd	10.84	22
隐私保护	n_new	10.83	9
感到	v	10.81	8
相比	vi	10.77	25
 	n	10.75	17
手机	n	10.71	28
遭到	v	10.71	13
迅速	ad	10.70	30
本体知识	n_new	10.70	6
蚂蚁链	n_new	10.70	6
专题讲座	n_new	10.69	4
牛逼	n_new	10.69	4
电子商务	n_new	10.69	4
安全监察员	n_new	10.69	4
起飞重量	n_new	10.69	4
近海作战	n_new	10.69	4
喷气式飞机	n_new	10.69	4
天下	n	10.69	15
行为	n	10.68	16
伙伴	n	10.68	17
流程	n	10.67	13
巡航	vi	10.67	16
席卷全球	n_new	10.67	6
盗版	vn	10.66	9
网	n	10.66	139
全面	ad	10.66	36
创投	n_new	10.64	15
特种钢材	n_new	10.64	5
透露	v	10.64	15
现代化	vn	10.63	16
依靠	v	10.63	14
周边	n	10.62	13
常规	n	10.62	26
开发商	n	10.62	24
一夜	n_new	10.62	9
限制	vn	10.61	20
评价	vn	10.60	14
取代	v	10.60	8
电影	n	10.60	11
官员	n	10.59	9
西海岸	n_new	10.59	7
不能	v	10.59	15
技巧	n	10.59	13
信用	n	10.59	12
理论	n	10.59	10
明显	a	10.58	40
下降	vi	10.57	16
通用	nz	10.57	9
class name	n_new	10.56	10
转型	vn	10.56	13
高校	n	10.54	15
积极	ad	10.54	40
防止	v	10.54	13
板块	n	10.54	13
免费	vd	10.53	12
艺术	n	10.53	17
寻求	v	10.53	8
局势	n	10.53	13
达成	v	10.52	18
数据库	n	10.52	22
融入	v	10.51	19
期待	v	10.51	17
流通	vn	10.50	13
护卫舰	n	10.50	16
总体	n	10.50	20
波动	vi	10.49	12
身份认同	n_new	10.49	10
把握	vn	10.47	13
学科	n	10.47	13
前往	v	10.47	9
收集	v	10.47	9
靠近	v	10.47	9
停放	v	10.47	9
生产力	n	10.46	12
师范大学	n	10.44	13
评估	vn	10.42	13
化	v	10.42	130
收获	n	10.41	15
引入	v	10.41	18
讲座	n	10.40	19
梳理	v	10.40	15
中华文明	n_new	10.39	10
演讲	vn	10.39	12
物流	n	10.38	13
要素	n	10.37	15
经营	vn	10.37	13
船只	n	10.37	13
不断上升	n_new	10.36	9
开发工程师	n_new	10.36	6
中国人民解放军海军	n_new	10.36	3
后勤保障	n_new	10.36	3
航运公司	n_new	10.36	3
临界质量	n_new	10.36	3
KILT协议	n_new	10.36	3
中国侨联	n_new	10.36	6
复飞	n_new	10.36	3
拉胯	n_new	10.36	3
停机区	n_new	10.36	3
高压蒸汽	n_new	10.36	3
预警直升机	n_new	10.36	3
练习中文	n_new	10.36	3
汉字卡片	n_new	10.36	3
猫咪	n_new	10.36	6
duplicate content	n_new	10.36	3
五代机	n_new	10.36	3
取得	v	10.36	19
更新	v	10.36	10
油料	n	10.36	11
嘉宾	n	10.36	11
文档	n	10.36	26
话题	n	10.35	18
钢材	n	10.35	17
国内	s	10.35	75
展示	v	10.34	17
储备	vn	10.34	15
document	n	10.34	20
应当	v	10.33	27
加快	v	10.31	18
人文交流	n_new	10.31	9
中文启蒙	n_new	10.31	7
奖励	vn	10.31	21
用途	n	10.30	13
指出	v	10.29	37
开设	v	10.29	23
法律	n	10.28	13
钱包	n	10.28	15
稳定	an	10.27	51
大会	n	10.27	19
语言学	n	10.27	15
溯源	vi	10.26	17
水面	n	10.24	25
扩张战略	n_new	10.24	5
世界顶级	n_new	10.24	6
天涯杂谈	n_new	10.24	5
发言人	n	10.24	12
微信	nz	10.21	8
观点	n	10.21	16
机遇	n	10.21	17
大力支持	n_new	10.20	4
征求意见	n_new	10.20	4
冷战时期	n_new	10.19	4
蓬勃发展	n_new	10.19	4
教育责任心	n_new	10.19	4
甲板调度	n_new	10.19	4
匹敌中国	n_new	10.19	2
护航舰艇	n_new	10.19	4
k线	n_new	10.19	4
红包	n	10.17	27
显得	v	10.16	15
沿线国家	n_new	10.15	6
共建国家	n_new	10.13	8
差距	n	10.13	17
生存	vn	10.12	18
事情	n	10.12	26
白皮书	n	10.12	19
直播	vn	10.11	22
社交	n	10.11	21
iP形象	n_new	10.09	7
瓦良格	nrf	10.07	13
教	v	10.06	55
支付宝	nz	10.00	14
想法	n	9.98	13
其实	d	9.95	81
sResult	n	9.95	42
实体抽取	n_new	9.91	6
退役	vi	9.87	16
意见	n	9.86	24
文明	n	9.86	19
直到	v	9.83	23
授权新建	n_new	9.79	8
创业者	n	9.78	26
搜索	v	9.76	15
共建	v	9.75	19
黄金	n	9.74	17
大赛	vn	9.74	14
名字	n	9.74	18
依据	n	9.74	29
对比	vn	9.71	14
表现	v	9.71	23
古典投资人	n_new	9.70	12
特定行业	n_new	9.70	6
估值	n_new	9.70	6
海鹞	n_new	9.70	3
做到	v	9.69	16
关键	a	9.69	43
努力	a	9.68	34
战场	n	9.67	13
借助	v	9.66	13
压力	n	9.66	14
引起	v	9.66	12
反弹	vn	9.64	12
长度	n	9.64	12
同学	n	9.64	13
连接	v	9.60	12
措施	n	9.60	10
推荐	v	9.59	8
互联	vi	9.57	14
命运	n	9.57	22
热潮	n	9.57	15
中国国际中文教育基金会	n_new	9.56	23
流动性	n	9.56	11
作业	vn	9.55	13
规定	v	9.55	9
素质	n	9.55	9
当地	s	9.55	76
同意	v	9.55	9
人生	n	9.54	13
成绩	n	9.53	11
密码	n	9.53	12
事实	n	9.53	11
故障	n	9.53	11
强化	v	9.53	10
允许	v	9.53	10
